DateGranularity,PeriodStartDate,PeriodEndDate,PredictionTimeWindow,MeasureColumn,TimeColumn
M,2024-03-26,2025-03-25,12,_Value,_Time

_Time,_Value,ProductVariantName,WarehouseLocationName
2019-01-01,1233,TelevisionLEDM34-82-Silver,Store 1
2019-02-01,1231,TelevisionLEDM34-82-Silver,Store 1
2019-03-01,1636,TelevisionLEDM34-82-Silver,Store 1
2019-04-01,1857,TelevisionLEDM34-82-Silver,Store 1
2019-05-01,2102,TelevisionLEDM34-82-Silver,Store 1
2019-06-01,2092,TelevisionLEDM34-82-Silver,Store 1
2019-07-01,2201,TelevisionLEDM34-82-Silver,Store 1
2019-08-01,1975,TelevisionLEDM34-82-Silver,Store 1
2019-09-01,1868,TelevisionLEDM34-82-Silver,Store 1
2019-10-01,1734,TelevisionLEDM34-82-Silver,Store 1
2019-11-01,1848,TelevisionLEDM34-82-Silver,Store 1
2019-12-01,1335,TelevisionLEDM34-82-Silver,Store 1
2020-01-01,1402,TelevisionLEDM34-82-Silver,Store 1
2020-02-01,1460,TelevisionLEDM34-82-Silver,Store 1
2020-03-01,1832,TelevisionLEDM34-82-Silver,Store 1
2020-04-01,2103,TelevisionLEDM34-82-Silver,Store 1
2020-05-01,2264,TelevisionLEDM34-82-Silver,Store 1
2020-06-01,2460,TelevisionLEDM34-82-Silver,Store 1
2020-07-01,2578,TelevisionLEDM34-82-Silver,Store 1
2020-08-01,2301,TelevisionLEDM34-82-Silver,Store 1
2020-09-01,2128,TelevisionLEDM34-82-Silver,Store 1
2020-10-01,2060,TelevisionLEDM34-82-Silver,Store 1
2020-11-01,2191,TelevisionLEDM34-82-Silver,Store 1
2020-12-01,1500,TelevisionLEDM34-82-Silver,Store 1
2021-01-01,1495,TelevisionLEDM34-82-Silver,Store 1
2021-02-01,1516,TelevisionLEDM34-82-Silver,Store 1
2021-03-01,1990,TelevisionLEDM34-82-Silver,Store 1
2021-04-01,2198,TelevisionLEDM34-82-Silver,Store 1
2021-05-01,2323,TelevisionLEDM34-82-Silver,Store 1
2021-06-01,2538,TelevisionLEDM34-82-Silver,Store 1
2021-07-01,2710,TelevisionLEDM34-82-Silver,Store 1
2021-08-01,2422,TelevisionLEDM34-82-Silver,Store 1
2021-09-01,2205,TelevisionLEDM34-82-Silver,Store 1
2021-10-01,2115,TelevisionLEDM34-82-Silver,Store 1
2021-11-01,2142,TelevisionLEDM34-82-Silver,Store 1
2021-12-01,1702,TelevisionLEDM34-82-Silver,Store 1
2022-01-01,1587,TelevisionLEDM34-82-Silver,Store 1
2022-02-01,1632,TelevisionLEDM34-82-Silver,Store 1
2022-03-01,2172,TelevisionLEDM34-82-Silver,Store 1
2022-04-01,2428,TelevisionLEDM34-82-Silver,Store 1
2022-05-01,2611,TelevisionLEDM34-82-Silver,Store 1
2022-06-01,2678,TelevisionLEDM34-82-Silver,Store 1
2022-07-01,3032,TelevisionLEDM34-82-Silver,Store 1
2022-08-01,2587,TelevisionLEDM34-82-Silver,Store 1
2022-09-01,2317,TelevisionLEDM34-82-Silver,Store 1
2022-10-01,2319,TelevisionLEDM34-82-Silver,Store 1
2022-11-01,2296,TelevisionLEDM34-82-Silver,Store 1
2022-12-01,1859,TelevisionLEDM34-82-Silver,Store 1
2023-01-01,1616,TelevisionLEDM34-82-Silver,Store 1
2023-02-01,1600,TelevisionLEDM34-82-Silver,Store 1
2023-03-01,2199,TelevisionLEDM34-82-Silver,Store 1
2023-04-01,2496,TelevisionLEDM34-82-Silver,Store 1
2023-05-01,2708,TelevisionLEDM34-82-Silver,Store 1
2023-06-01,2937,TelevisionLEDM34-82-Silver,Store 1
2023-07-01,3045,TelevisionLEDM34-82-Silver,Store 1
2023-08-01,2735,TelevisionLEDM34-82-Silver,Store 1
2023-09-01,2547,TelevisionLEDM34-82-Silver,Store 1
2023-10-01,2378,TelevisionLEDM34-82-Silver,Store 1
2023-11-01,2458,TelevisionLEDM34-82-Silver,Store 1
2023-12-01,1872,TelevisionLEDM34-82-Silver,Store 1
2024-01-01,1778,TelevisionLEDM34-82-Silver,Store 1
2024-02-01,1760,TelevisionLEDM34-82-Silver,Store 1
2019-01-01,1014,TelevisionLEDM34-82-Silver,Store 4
2019-02-01,1031,TelevisionLEDM34-82-Silver,Store 4
2019-03-01,1424,TelevisionLEDM34-82-Silver,Store 4
2019-04-01,1535,TelevisionLEDM34-82-Silver,Store 4
2019-05-01,1688,TelevisionLEDM34-82-Silver,Store 4
2019-06-01,1811,TelevisionLEDM34-82-Silver,Store 4
2019-07-01,1962,TelevisionLEDM34-82-Silver,Store 4
2019-08-01,1695,TelevisionLEDM34-82-Silver,Store 4
2019-09-01,1519,TelevisionLEDM34-82-Silver,Store 4
2019-10-01,1425,TelevisionLEDM34-82-Silver,Store 4
2019-11-01,1548,TelevisionLEDM34-82-Silver,Store 4
2019-12-01,1127,TelevisionLEDM34-82-Silver,Store 4
2020-01-01,1145,TelevisionLEDM34-82-Silver,Store 4
2020-02-01,1155,TelevisionLEDM34-82-Silver,Store 4
2020-03-01,1567,TelevisionLEDM34-82-Silver,Store 4
2020-04-01,1845,TelevisionLEDM34-82-Silver,Store 4
2020-05-01,2038,TelevisionLEDM34-82-Silver,Store 4
2020-06-01,1945,TelevisionLEDM34-82-Silver,Store 4
2020-07-01,2206,TelevisionLEDM34-82-Silver,Store 4
2020-08-01,1949,TelevisionLEDM34-82-Silver,Store 4
2020-09-01,1655,TelevisionLEDM34-82-Silver,Store 4
2020-10-01,1703,TelevisionLEDM34-82-Silver,Store 4
2020-11-01,1844,TelevisionLEDM34-82-Silver,Store 4
2020-12-01,1356,TelevisionLEDM34-82-Silver,Store 4
2021-01-01,1237,TelevisionLEDM34-82-Silver,Store 4
2021-02-01,1300,TelevisionLEDM34-82-Silver,Store 4
2021-03-01,1713,TelevisionLEDM34-82-Silver,Store 4
2021-04-01,1808,TelevisionLEDM34-82-Silver,Store 4
2021-05-01,2149,TelevisionLEDM34-82-Silver,Store 4
2021-06-01,2030,TelevisionLEDM34-82-Silver,Store 4
2021-07-01,2294,TelevisionLEDM34-82-Silver,Store 4
2021-08-01,2082,TelevisionLEDM34-82-Silver,Store 4
2021-09-01,1875,TelevisionLEDM34-82-Silver,Store 4
2021-10-01,1748,TelevisionLEDM34-82-Silver,Store 4
2021-11-01,1748,TelevisionLEDM34-82-Silver,Store 4
2021-12-01,1374,TelevisionLEDM34-82-Silver,Store 4
2022-01-01,1355,TelevisionLEDM34-82-Silver,Store 4
2022-02-01,1338,TelevisionLEDM34-82-Silver,Store 4
2022-03-01,1711,TelevisionLEDM34-82-Silver,Store 4
2022-04-01,2023,TelevisionLEDM34-82-Silver,Store 4
2022-05-01,2266,TelevisionLEDM34-82-Silver,Store 4
2022-06-01,2203,TelevisionLEDM34-82-Silver,Store 4
2022-07-01,2533,TelevisionLEDM34-82-Silver,Store 4
2022-08-01,2186,TelevisionLEDM34-82-Silver,Store 4
2022-09-01,2023,TelevisionLEDM34-82-Silver,Store 4
2022-10-01,1999,TelevisionLEDM34-82-Silver,Store 4
2022-11-01,2068,TelevisionLEDM34-82-Silver,Store 4
2022-12-01,1509,TelevisionLEDM34-82-Silver,Store 4
2023-01-01,1372,TelevisionLEDM34-82-Silver,Store 4
2023-02-01,1362,TelevisionLEDM34-82-Silver,Store 4
2023-03-01,1912,TelevisionLEDM34-82-Silver,Store 4
2023-04-01,2162,TelevisionLEDM34-82-Silver,Store 4
2023-05-01,2221,TelevisionLEDM34-82-Silver,Store 4
2023-06-01,2436,TelevisionLEDM34-82-Silver,Store 4
2023-07-01,2646,TelevisionLEDM34-82-Silver,Store 4
2023-08-01,2284,TelevisionLEDM34-82-Silver,Store 4
2023-09-01,2170,TelevisionLEDM34-82-Silver,Store 4
2023-10-01,1971,TelevisionLEDM34-82-Silver,Store 4
2023-11-01,2100,TelevisionLEDM34-82-Silver,Store 4
2023-12-01,1546,TelevisionLEDM34-82-Silver,Store 4
2024-01-01,1509,TelevisionLEDM34-82-Silver,Store 4
2024-02-01,1500,TelevisionLEDM34-82-Silver,Store 4
2019-01-01,767,Car Audio Unit-65-Silver,Store 4
2019-02-01,803,Car Audio Unit-65-Silver,Store 4
2019-03-01,1058,Car Audio Unit-65-Silver,Store 4
2019-04-01,1180,Car Audio Unit-65-Silver,Store 4
2019-05-01,1277,Car Audio Unit-65-Silver,Store 4
